"","geneID","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"77","SERF2",0.00121618058213875,-0.2516227382139,0.635,0.727,1
"78","GABARAP",0.00126166211519724,-0.357027259926315,0.298,0.389,1
"79","PPIL4",0.00126295370430336,0.689512906747361,0.152,0.108,1
"80","SNX20",0.00128182481554068,-1.0711800623814,0.036,0.073,1
"81","EIF1",0.00128779290138866,-0.176133684915728,0.883,0.905,1
"82","RILPL2",0.00130559255747242,-0.460657335274218,0.099,0.15,1
"83","TXLNG",0.00131796145372025,1.02518833209083,0.08,0.039,1
"84","UBE2D2",0.00137531740712351,-0.503708106209564,0.194,0.269,1
"85","ZFAND5",0.00146454769326295,-0.403949364232865,0.091,0.131,1
"86","HTATIP2",0.00147956538976585,-0.959980862983372,0.052,0.097,1
"87","JOSD1",0.00149181957795931,-0.779087197034799,0.06,0.106,1
"88","IL32",0.00149717941286355,-0.478138373162169,0.276,0.328,1
"89","RARRES1",0.00160200785235143,0.984673172352119,0.119,0.066,1
"90","BLOC1S1",0.0016575114038909,-0.523248292605209,0.156,0.225,1
"91","HINT1",0.00168825622161882,-0.199631000353968,0.563,0.652,1
"92","NDUFB3",0.00185739183817997,-0.777821119690806,0.087,0.145,1
"93","DDX39B",0.00186521915473714,-0.256647271751223,0.112,0.15,1
"94","TIMP1",0.00189352413021292,0.312874513661449,0.493,0.416,1
"95","PTPRC",0.00193906740368335,0.186355952023344,0.747,0.738,1
"96","SNAI3",0.00201456993497124,-2.03782146543497,0.006,0.027,1
"97","RPL32",0.00208930749069379,-0.115683380702177,0.987,0.984,1
"98","AC016074.2",0.00213792006441789,0.513410177973639,0.281,0.239,1
"99","YBX1",0.0021851663975823,0.30157944949556,0.495,0.447,1
"100","STUB1",0.00223973127498785,-0.599302532816961,0.14,0.202,1
"101","COPE",0.00226066046178722,-0.503396357509547,0.159,0.228,1
"102","SAP18",0.00239131973276703,-0.39126177382284,0.256,0.334,1
"103","RPL30",0.0024981915554369,-0.101077105562401,0.988,0.984,1
"104","TPM2",0.002514544235178,1.39513794184114,0.054,0.022,1
"105","DEK",0.00253910866447344,0.230400312924901,0.51,0.492,1
"106","CLEC2B",0.002539327814888,-0.231214015048863,0.2,0.255,1
"107","KRT10",0.00259515566508093,-0.303282608663301,0.263,0.338,1
"108","AP006621.3",0.00261654001380182,-2.03782146543497,0.006,0.027,1
"109","RBPJ",0.0026196472990043,-0.751602272180374,0.078,0.133,1
"110","MYL6",0.002640828245092,-0.294906604937575,0.547,0.636,1
"111","RPL18",0.00277979004585099,-0.120792423036866,0.97,0.967,1
"112","ITGB1",0.00289089885506646,0.320822910735941,0.269,0.25,1
"113","RABAC1",0.00291762882463316,-0.330752879587569,0.237,0.311,1
"114","JUND",0.00294221582884321,-0.286725542433873,0.409,0.494,1
"115","TC2N",0.00294561020766325,-0.616952745485592,0.091,0.142,1
"116","LINC01089",0.00306231377037312,-1.21130428629047,0.018,0.044,1
"117","TIMM10B",0.00322461983385873,-0.842708131901822,0.058,0.1,1
"118","FAM234A",0.00323931267666013,-1.67525138605026,0.01,0.033,1
"119","ARPC3",0.00356711568571896,-0.170499765416561,0.352,0.42,1
"120","SPOCK2",0.00357214143204,-0.516553640031201,0.122,0.178,1
"121","HLA-C",0.00363070454825785,-0.103954569762401,0.687,0.758,1
"122","CKAP5",0.00363177770953533,0.217833410033228,0.05,0.036,1
"123","TSTA3",0.00364628442741911,-1.34267604696339,0.015,0.041,1
"124","HNRNPH1",0.00369927664075755,0.374217290214041,0.205,0.183,1
"125","ZFAS1",0.00387292207570206,-0.18509440696762,0.401,0.477,1
"126","VPS13C",0.0038786199288731,0.542795565010224,0.18,0.138,1
"127","RPL9",0.00388218843643769,-0.100525078394333,0.981,0.969,1
"128","SLC35E3",0.00399960261995261,-1.34267604696339,0.015,0.041,1
"129","NME2",0.00401405093423886,0.228072594538067,0.343,0.327,1
"130","AC108863.2",0.004203487992381,1.73978611322859,0.03,0.008,1
"131","IFITM3",0.0042555738839867,1.15482361250743,0.056,0.027,1
"132","CTSA",0.00430220135265606,-1.17775172657944,0.033,0.072,1
"133","OST4",0.00430379585710609,-0.396757761577692,0.265,0.345,1
"134","GIMAP7",0.00434292509177204,0.209559676087341,0.604,0.597,1
"135","LSM10",0.00453507616409813,-0.236809282436471,0.118,0.155,1
"136","ANKRD30A",0.00461042843373326,2.02518833209083,0.024,0.005,1
"137","USP14",0.00470895112295808,0.655954522425114,0.139,0.086,1
"138","IRF8",0.0047416839687437,-0.373595686189158,0.039,0.062,1
"139","NOP53",0.00486362123211284,-0.183398289720584,0.406,0.477,1
"140","SH2D2A",0.00486537440630716,-1.11582397743624,0.026,0.055,1
"141","LIAS",0.00490128392600492,-1.2829339632715,0.02,0.044,1
"142","SEC61B",0.00492218046599083,0.187245090199806,0.274,0.269,1
"143","ABCF1",0.00493311232492541,0.643110093816911,0.172,0.114,1
