"","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"12516","ZNF16",0.675463075895993,0.111080243014701,0.081,0.074,1
"12517","AC138035.1",0.675595992875588,2.40386199224255,0.012,0.002,1
"12518","RGS11",0.675738813716214,-2.14045852398126,0.021,0.094,1
"12519","MTMR6",0.676083026704822,-0.346670590781184,0.258,0.29,1
"12520","ADAM32",0.676338028670751,3.26238956628967,0.019,0.002,1
"12521","BRD3",0.67654222385088,0.827172495007454,0.3,0.164,1
"12522","ABCB10",0.676588545107372,-1.05799636378929,0.067,0.131,1
"12523","MITD1",0.67687137771625,-0.444819792103992,0.263,0.32,1
"12524","BMPR1B-DT",0.676935143948819,-3.91926784785457,0.01,0.174,1
"12525","AC009961.4",0.677005196217111,1.61031286970997,0.012,0.004,1
"12526","AC090192.2",0.677104302902177,-1.97772902394316,0.004,0.022,1
"12527","ULK2",0.67722333637396,0.355214443505215,0.185,0.14,1
"12528","TBCC",0.677305766533558,-1.0385344616766,0.171,0.307,1
"12529","GNAI1",0.677593560864015,0.578064465231478,0.104,0.068,1
"12530","WDR5",0.677740319015084,0.327826101210007,0.156,0.119,1
"12531","AGAP2-AS1",0.677815144185832,-0.752103067354925,0.071,0.117,1
"12532","SUPT4H1",0.677995180919131,-0.913037754065282,0.427,0.611,1
"12533","MBLAC1",0.678039169899844,-0.289963984184643,0.067,0.082,1
"12534","PRPF40B",0.678422687900276,-0.409491670436501,0.146,0.183,1
"12535","TTLL10",0.67842539259256,-0.240763429776949,0.008,0.011,1
"12536","TMCC1-AS1",0.678538252537453,-0.676511424221474,0.027,0.047,1
"12537","MYRFL",0.678633108592231,-1.74452984765012,0.042,0.124,1
"12538","AC005920.1",0.678668303537167,0.128358234446536,0.013,0.014,1
"12539","AC025423.1",0.678943940408762,-1.46622868516302,0.004,0.015,1
"12540","GXYLT1",0.679397932912495,-0.514887687234288,0.177,0.229,1
"12541","AC027279.1",0.679513132564168,-0.759636740040333,0.017,0.031,1
"12542","HSD11B1-AS1",0.679905114187642,-1.60512679098471,0.002,0.011,1
"12543","SLC2A1-AS1",0.680147591091413,-1.16377959821588,0.05,0.109,1
"12544","SF3A2",0.680710894470679,0.636947996213439,0.148,0.092,1
"12545","CLUL1",0.680859374679622,2.16236074795839,0.025,0.006,1
"12546","FBXW8",0.68095503365313,-1.19704205234763,0.073,0.153,1
"12547","MYEOV",0.680978252451627,3.52724440774783,0.081,0.008,1
"12548","AC027796.1",0.68137269648625,0.719126356848898,0.015,0.01,1
"12549","LATS2",0.681485261193171,0.682546901251635,0.133,0.085,1
"12550","SLC39A4",0.681686820487125,-1.91098715110571,0.294,0.686,1
"12551","VPS37D",0.681808573981289,-0.317941485699844,0.038,0.051,1
"12552","ZZEF1",0.681838253427352,0.718173013101203,0.217,0.129,1
"12553","CD164L2",0.681890057477327,1.99243574651608,0.075,0.018,1
"12554","AC027682.6",0.682449944502393,-1.81129885986283,0.008,0.032,1
"12555","PRH1",0.682545465570434,-0.282020264305552,0.129,0.148,1
"12556","EPHA1",0.682729346232358,0.602933339344375,0.108,0.071,1
"12557","AL021328.1",0.682736770566076,-0.750143454113652,0.048,0.079,1
"12558","ZC3H7B",0.682829827099246,0.434726855128362,0.181,0.133,1
"12559","RIOX2",0.6830076377505,-0.727781400427307,0.198,0.293,1
"12560","PGLYRP2",0.683225875651531,-2.72926309099681,0.008,0.053,1
"12561","DARS-AS1",0.68352296683062,1.01401282505454,0.023,0.012,1
"12562","SHPK",0.683768866377265,2.1151270760774,0.062,0.014,1
"12563","GET1",0.683940370243018,-1.29760176122432,0.235,0.445,1
"12564","HEPACAM2",0.683974634400308,2.43926732837375,0.038,0.006,1
"12565","AC064836.3",0.684065574639137,0.503397665793461,0.021,0.016,1
"12566","AC144450.1",0.684215984615583,-2.15277178542012,0.012,0.041,1
"12567","ZNF624",0.684459648028734,1.76231596315502,0.065,0.019,1
"12568","ASNS",0.685357165039892,1.38792044837352,0.037,0.014,1
"12569","AC146944.4",0.68590848931164,-3.11865415366291,0.002,0.033,1
"12570","GRK2",0.686129149451772,-1.02291280517543,0.2,0.351,1
"12571","AC135279.4",0.686158038600644,1.9888244929637,0.012,0.003,1
"12572","VASH1",0.686160012435793,2.46777375606274,0.037,0.007,1
"12573","NAT9",0.686191339302462,-0.518709002326888,0.15,0.204,1
"12574","THOC7",0.686238381538624,-1.24348898629537,0.577,0.821,1
"12575","PHF7",0.686343634693946,-0.48626038998508,0.065,0.087,1
"12576","AC114811.2",0.686501484794018,1.39906100597873,0.017,0.007,1
"12577","SENP3",0.686704800763708,1.17248078767884,0.06,0.026,1
"12578","NCK1",0.68675849538055,-0.558135162183865,0.235,0.321,1
"12579","RNF227",0.686911100018859,0.964977751009335,0.037,0.02,1
"12580","AGT",0.686934985670173,-3.85791953028117,0.033,0.399,1
"12581","ACVR1",0.687221342422239,-0.673795336112891,0.123,0.182,1
"12582","AC099522.2",0.68723324823272,0.430148683762822,0.021,0.016,1
"12583","AC009495.3",0.687341365019407,0.607233476778001,0.015,0.011,1
"12584","RNF7",0.687362419516021,-0.916296195916604,0.815,0.934,1
"12585","SAMD4A",0.687666017295421,-0.687588951176681,0.06,0.081,1
"12586","ALG3",0.687748776718037,-0.930791585713028,0.248,0.4,1
"12587","CAPN3",0.687750979960842,-0.344599240761489,0.008,0.012,1
"12588","AC004982.2",0.687829865224391,-0.350312891955883,0.063,0.079,1
"12589","IRAK2",0.687939109734959,-0.48149544181633,0.01,0.016,1
"12590","AL359513.1",0.68807138463405,0.90005663575745,0.023,0.013,1
"12591","AC097376.3",0.688273033792351,-0.346823905876003,0.16,0.186,1
"12592","HPS6",0.688695111572768,-0.736916663540249,0.094,0.145,1
"12593","AC239800.2",0.68875185411741,1.9888244929637,0.012,0.003,1
"12594","GJA9",0.688994772185302,0.564798210457605,0.01,0.007,1
"12595","ITFG2-AS1",0.690482949072085,1.08018623506892,0.04,0.019,1
"12596","STIM2-AS1",0.690656601762284,-2.49981904689008,0.012,0.071,1
"12597","AC015912.3",0.69079920480448,-1.45079864459341,0.012,0.035,1
"12598","HPCAL1",0.691003091924752,-1.61565040400362,0.177,0.416,1
"12599","ORM1",0.691522880561608,-1.64634945371122,0.008,0.027,1
"12600","MAP3K21",0.691603585692244,-1.09154892350032,0.062,0.131,1
"12601","SINHCAF",0.691876752790493,0.945192838165148,0.542,0.305,1
"12602","LINC00685",0.692055886277004,-1.69645984172568,0.083,0.255,1
"12603","RFTN1",0.692187894839161,2.31897309465603,0.019,0.004,1
"12604","AC234917.3",0.692445625187906,0.668821275000833,0.027,0.017,1
"12605","CROCC",0.692515873473157,-0.225530609307327,0.048,0.057,1
