"","geneID","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"69","COL1A2",8.89227686849387e-14,0.179843569248668,0.743,0.862,1.62604174817279e-09
"70","RPL23A",9.69040442535876e-14,0.219815978843349,1,0.999,1.7719873532211e-09
"71","HEBP1",1.427200090823e-13,0.582759721570369,0.475,0.303,2.60977808607895e-09
"72","RPL13",1.87639764078127e-13,0.151693529068138,1,1,3.43118072593263e-09
"73","GPNMB",2.00698024890291e-13,0.802727454537422,0.548,0.386,3.66996408314387e-09
"74","KCMF1",3.60630552702082e-13,0.776667244647075,0.352,0.198,6.59449028671028e-09
"75","MAFB",4.27331149452461e-13,2.20934371385761,0.196,0.079,7.81417739888771e-09
"76","SNHG7",4.68004623713859e-13,0.735550193833991,0.457,0.31,8.55793254923162e-09
"77","RPL13A",4.92701377144363e-13,0.137361765235915,1,1,9.00953738246182e-09
"78","PLCG2",9.19050764142349e-13,0.54565572690763,0.394,0.247,1.6805762273107e-08
"79","MAPKAPK2",1.30043181738113e-12,0.548381990166265,0.496,0.334,2.37796962126313e-08
"80","P4HA1",1.30505578140866e-12,-0.63682022920293,0.351,0.415,2.38642500188388e-08
"81","SPHK1",1.61885662006095e-12,0.935378129107682,0.405,0.257,2.96024121544345e-08
"82","CEBPB",1.70945567026305e-12,0.46295628562995,0.772,0.698,3.12591063864301e-08
"83","CFH",1.71937739931679e-12,-1.34390805097102,0.164,0.271,3.14405351239068e-08
"84","STX3",1.78006883122922e-12,1.20415209368351,0.191,0.079,3.25503386478575e-08
"85","FOSB",2.07779768004337e-12,-0.920030707440579,0.275,0.427,3.7994608377273e-08
"86","RPL9",2.19294951279434e-12,0.167679799776929,1,1,4.01002747909573e-08
"87","EIF1",2.76911436006152e-12,0.244929004667945,0.999,1,5.0636025188085e-08
"88","CCN1",2.80858320841792e-12,-0.844892603018075,0.454,0.605,5.13577525491301e-08
"89","SYNJ2",2.98023874820223e-12,1.18397583666687,0.289,0.143,5.4496645749626e-08
"90","HMGA1",4.47033078082823e-12,0.916838936597046,0.44,0.269,8.1744468658225e-08
