"","geneID","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1265","MTOR",0.0197679604986133,0.120497474911612,0.107,0.087,1
"1266","CAPN1",0.0198092166439874,-0.477138855844655,0.146,0.195,1
"1267","KCNMA1",0.0198094675597259,0.488661570769542,0.041,0.02,1
"1268","MMP19",0.0198342977618007,-1.12990932259443,0.021,0.047,1
"1269","RNASET2",0.0198920717870637,-0.414437445676602,0.242,0.298,1
"1270","PANK2",0.0200189109799476,0.548162582518205,0.177,0.126,1
"1271","MIR646HG",0.0200216310721779,2.28512817668441,0.014,0.002,1
"1272","PARP14",0.0200553927065145,-0.428962951229209,0.265,0.318,1
"1273","FGF1",0.0200620063773904,-0.224872266355524,0.073,0.099,1
"1274","TSPAN9",0.0200889949634395,-0.38599096778646,0.125,0.175,1
"1275","ARMCX5",0.0201131558215351,-0.830349040735525,0.031,0.058,1
"1276","PTGIR",0.0201179030178923,-0.643136069716675,0.079,0.117,1
"1277","MAX",0.0201261176070809,0.224941170609321,0.235,0.185,1
"1278","AL391807.1",0.0201397519303904,-2.00027404217784,0.004,0.018,1
"1279","TRIP10",0.0201612107887769,0.428086130526454,0.177,0.126,1
"1280","UNC13B",0.0201900629313883,0.896562888766758,0.064,0.035,1
"1281","SNRPE",0.0202324932412429,-0.214559343611001,0.63,0.676,1
"1282","WDR60",0.020269100993412,-0.281912416039483,0.18,0.188,1
"1283","LDLRAD3",0.0202937139572687,-0.653471278651446,0.081,0.116,1
"1284","LINC02609",0.0202977974602171,0.520344638378442,0.13,0.087,1
"1285","RTN4RL2",0.0203457998797692,0.700165675963254,0.068,0.036,1
"1286","SNX11",0.0204164239835528,0.80450233577799,0.052,0.027,1
"1287","PIGC",0.0204628743396135,-0.248609000681572,0.101,0.105,1
"1288","MSH6",0.0205339644601075,0.384663850235325,0.272,0.223,1
"1289","PGAM5",0.0205667171873293,0.847007064292526,0.073,0.041,1
"1290","DNAJC21",0.020623140163607,0.263847256597234,0.475,0.407,1
"1291","ZNF766",0.0206257430894152,0.587156714134068,0.144,0.097,1
"1292","PODNL1",0.0206433104783598,-1.54776183748033,0.009,0.027,1
"1293","ATP1B1",0.0207224653612212,1.25036275852373,0.044,0.02,1
"1294","PFDN2",0.0207479738354998,0.200037082641991,0.763,0.71,1
"1295","JPX",0.0207531093668862,0.257278393757538,0.477,0.407,1
"1296","DIAPH2",0.0208651321289306,-0.449211948074972,0.174,0.226,1
"1297","WDR3",0.0209171996523009,0.115203175242098,0.19,0.16,1
"1298","SETDB2",0.0209176620333077,0.756018910696772,0.081,0.055,1
"1299","VEGFC",0.0209889711784467,-0.475991279190573,0.084,0.1,1
"1300","MYL12A",0.0210120681830159,-0.169773783472372,0.867,0.888,1
"1301","USP44",0.0210416094263463,1.5746347938794,0.026,0.008,1
"1302","PDE1A",0.0210593134697645,0.50562853867965,0.241,0.187,1
"1303","ARPC5",0.0210761658587237,0.136558215297484,0.905,0.912,1
"1304","ZNF518A",0.0211022516694486,-0.194341195189431,0.174,0.173,1
"1305","POP7",0.0211093695394988,0.178063199080675,0.347,0.29,1
"1306","PRUNE2",0.0211737258434203,2.02209377085062,0.017,0.003,1
"1307","DDX20",0.0211876408763595,0.646726417001794,0.119,0.076,1
"1308","RPGR",0.0212485583199674,0.141871125704179,0.09,0.099,1
"1309","IRX3",0.0212810698754178,0.519593430321433,0.143,0.119,1
"1310","BHLHE22",0.0213088521811146,-1.45737560102323,0.015,0.035,1
"1311","SEPTIN1",0.0213405272113484,-0.282960505472349,0.1,0.1,1
"1312","LRRC1",0.0213574300559764,1.5746347938794,0.026,0.008,1
"1313","HEYL",0.0213894056820232,-0.611778330351486,0.11,0.149,1
"1314","CEP41",0.0214084403980906,-0.597514872677431,0.053,0.085,1
"1315","FAM162B",0.021461467686049,-0.286159387139669,0.105,0.103,1
"1316","CYB5R4",0.0215121406197663,-0.765497896385558,0.051,0.084,1
"1317","SHCBP1",0.0215336361033195,-0.415311541456681,0.01,0.018,1
"1318","YTHDF3",0.021562424725647,0.446409083717472,0.227,0.173,1
"1319","CTDSP1",0.0216391287729322,-0.44101038699744,0.128,0.163,1
"1320","APOL4",0.0216687344783994,-1.24736690414261,0.016,0.04,1
"1321","KYAT1",0.0216822438831403,0.892810753905651,0.038,0.018,1
"1322","MAP3K20",0.0217650197782502,0.274938955871874,0.522,0.457,1
"1323","KAT7",0.0218165314408182,0.481985505913721,0.205,0.152,1
"1324","IRX1",0.0218287801093551,1.33243389146277,0.036,0.014,1
"1325","DNAJB4",0.0218400999886019,-0.473165926922307,0.142,0.173,1
"1326","UBE2D4",0.02186694250566,0.787628517213594,0.08,0.047,1
"1327","DDX24",0.0218777830397086,-0.179783193368036,0.73,0.78,1
"1328","EPHA4",0.0218899730286677,0.884590247100681,0.03,0.014,1
"1329","PLEKHG2",0.0219265022758137,-0.636869311314316,0.085,0.129,1
"1330","MECP2",0.0220212596822011,0.424531233349827,0.232,0.173,1
"1331","SHTN1",0.0220540790015692,1.02209377085062,0.052,0.024,1
"1332","LINC01315",0.0220592746957077,0.787628517213594,0.041,0.021,1
"1333","FOXP1",0.022082198052481,-0.247165255523805,0.427,0.45,1
"1334","RGS4",0.0221066925148304,-0.823396280093759,0.058,0.094,1
