"","geneID","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"68","GSTO1",7.22773320014748e-08,-0.359466033416898,0.807,0.86,0.00132166329297897
"69","APOD",7.25531417619813e-08,-1.21799192941555,0.293,0.371,0.00132670675025959
"70","CERCAM",7.37391337804218e-08,-0.754553345648891,0.207,0.327,0.00134839380030879
"71","ADAM12",8.26938787469164e-08,-0.87118169397575,0.153,0.278,0.00151214026676611
"72","COL6A1",8.35006698959444e-08,-0.537354726501824,0.94,0.935,0.00152689324971724
"73","PTPRE",8.76146265884392e-08,-0.396028721062006,0.243,0.354,0.0016021210617962
"74","AP2S1",8.96808793334445e-08,-0.378407947852809,0.772,0.842,0.00163990455949137
"75","FHAD1",1.00280081485849e-07,-0.87011971745309,0.117,0.214,0.00183372157005023
"76","TMSB4X",1.17908944705606e-07,-0.403339985358219,0.999,1,0.00215608296288671
"77","RALA",1.27899314892324e-07,-0.523561956057013,0.323,0.457,0.00233876687212103
"78","TGFB1",1.35080555056245e-07,-0.63324558498401,0.226,0.345,0.0024700830297585
"79","CTTN",1.47552878133652e-07,-0.22671054252012,0.301,0.409,0.00269815192955195
"80","CTHRC1",1.49915671488187e-07,-1.08415939720851,0.167,0.304,0.00274135796883299
"81","YIPF3",1.56360316195995e-07,-0.303214460705589,0.289,0.398,0.00285920474195996
"82","EPAS1",1.92595309866568e-07,0.493761898552259,0.694,0.559,0.00352179783622007
"83","UNC5B",1.96037259611306e-07,-0.845224091861515,0.197,0.302,0.00358473732925235
"84","FKBP11",1.96540115843981e-07,-0.409976360187252,0.291,0.426,0.00359393255832304
"85","FAM234A",2.28816284480901e-07,-0.40972733820071,0.153,0.237,0.00418413457801775
"86","PHC2",2.35555488611951e-07,-0.457941872313487,0.338,0.482,0.00430736766475813
"87","PTPN12",2.40864567742836e-07,-0.273961576200325,0.374,0.498,0.0044044494857455
"88","SORBS2",2.49938008548156e-07,1.64224693691307,0.109,0.038,0.00457036642431158
"89","HTRA3",2.59258069674397e-07,-1.46539893049887,0.04,0.105,0.00474079306206603
"90","ARHGDIA",2.76388413563087e-07,-0.59067615191555,0.322,0.465,0.00505403853041461
"91","WIPI2",2.93436361249868e-07,-0.415174163423396,0.251,0.366,0.00536577730181509
"92","PSMC3",3.56796628192414e-07,-0.297222350203902,0.294,0.407,0.00652438314312648
"93","BASP1",3.671852924557e-07,-0.863764222413267,0.207,0.35,0.00671435025784494
"94","DHRS7",3.70747375427945e-07,0.157080031379578,0.331,0.375,0.0067794865070754
"95","A2M",4.52957030199761e-07,-0.412384111005643,0.4,0.505,0.00828277225423282
"96","HGS",4.58606348498302e-07,-0.537098710391761,0.152,0.245,0.00838607568863995
"97","BCAR1",5.07301680914178e-07,-0.866055242740785,0.144,0.263,0.00927651853719665
"98","LAMC3",5.07601597405253e-07,-1.20559187473833,0.039,0.099,0.00928200281015246
"99","GAL",5.16284680131911e-07,-3.63059216615485,0.059,0.125,0.00944078166089212
"100","CPXM1",5.49135529574855e-07,-1.19154504354607,0.064,0.14,0.0100414922938058
"101","HK1",5.87889999988862e-07,-0.49589792716345,0.228,0.348,0.0107501565397963
"102","RPS19",6.01925463796385e-07,-0.164819595765699,1,1,0.0110068090309807
"103","CCL21",6.09349272482838e-07,3.46512273071515,0.054,0.009,0.0111425607966212
"104","TGFB1I1",6.12580473222969e-07,-0.522307256710595,0.295,0.419,0.0112016465333552
"105","UFD1",6.27712649898392e-07,-0.292399325092833,0.273,0.383,0.011478353516042
"106","FMO1",7.11126105507062e-07,-1.65061869237183,0.032,0.087,0.0130036519653021
"107","PLCXD3",7.21898450091468e-07,1.84964664377404,0.109,0.041,0.0132006350583726
"108","MARCKSL1",7.54288914323443e-07,-0.500678065383674,0.31,0.438,0.0137929270873185
"109","FUCA2",7.59647887364492e-07,-0.321161009908031,0.266,0.368,0.0138909212683471
"110","AIDA",8.13387961904994e-07,-0.200507195715366,0.329,0.433,0.0148736122713947
"111","FGFR1",9.31395509744225e-07,-0.40418684174528,0.332,0.468,0.0170314982911829
"112","SH2B3",9.62687253404144e-07,-0.67239080170692,0.154,0.266,0.0176036991157482
"113","CCDC80",9.65191097090532e-07,0.4465224660387,0.214,0.229,0.0176494844013975
"114","GFPT2",9.68022810775187e-07,-0.75583410812012,0.228,0.36,0.0177012651178351
"115","METRN",9.70180253465035e-07,-0.222778082744195,0.362,0.477,0.0177407161148616
"116","COX16",1.00257303508929e-06,-0.537784855880556,0.283,0.424,0.0183330505196427
"117","ITGB3",1.02747560908603e-06,-0.820315437340147,0.105,0.193,0.0187884189877471
"118","AAMP",1.04678864964707e-06,-0.43655300659613,0.162,0.251,0.0191415772474463
"119","ACP1",1.06971090350372e-06,-0.360606509429542,0.322,0.45,0.0195607335814691
"120","RNF113A",1.08974782886602e-06,-0.363905290068528,0.087,0.137,0.019927128798644
"121","MMP2",1.12089883194729e-06,-0.984566447347808,0.188,0.324,0.0204967560409881
"122","FBXO32",1.12643636063288e-06,0.369184457231236,0.142,0.16,0.0205980152905328
"123","DTWD1",1.13537262682132e-06,0.245112497836531,0.486,0.518,0.0207614238540547
"124","PCDH18",1.13854949133513e-06,-0.656909850315637,0.264,0.365,0.0208195159985542
"125","UPP1",1.18737952688365e-06,-0.530703094976894,0.239,0.354,0.0217124220285944
"126","EFEMP1",1.28105237610291e-06,-0.131244533278253,0.12,0.172,0.0234253237494179
"127","LIMS1",1.28623300313252e-06,-0.39379080003079,0.395,0.532,0.0235200566952813
"128","C4orf48",1.31858400051484e-06,-0.704832244134752,0.228,0.366,0.0241116270334144
"129","COL1A2",1.34140393895565e-06,-0.529793909768528,0.862,0.881,0.0245289124277431
"130","PLAUR",1.35855316828905e-06,-0.793340504928148,0.242,0.375,0.0248425032353335
"131","NDRG1",1.40562701339973e-06,-0.63755009012441,0.272,0.4,0.0257032955670275
"132","BMP8A",1.40999361988914e-06,-1.16281461227912,0.076,0.144,0.0257831433332928
"133","NPTN",1.42026295432934e-06,-0.281804209853634,0.304,0.413,0.0259709283828663
"134","AFF4",1.43185640817032e-06,-0.149950727807952,0.343,0.445,0.0261829262798024
"135","TWIST2",1.57371673952535e-06,-0.809892479540843,0.184,0.309,0.0287769842989605
"136","ARPC4",1.60086241097721e-06,-0.330114231761277,0.301,0.416,0.0292733700471292
"137","BACE1",1.62261505677167e-06,-0.511092604094796,0.177,0.278,0.0296711389281267
"138","FKBP10",1.70614345777248e-06,-0.564584649104104,0.26,0.388,0.0311985392688276
"139","BAZ1B",1.76034565041796e-06,-0.136808346733626,0.377,0.471,0.0321896805635428
