"","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","MT-ND6",0,1.95627750976688,0.928,0.559,0
"2","RPS20",0,0.838972834925951,1,0.995,0
"3","GAPDH",0,-0.862803993423915,0.999,1,0
"4","MT-ND5",0,0.899493400291535,1,0.999,0
"5","RPL23",0,0.821525214707405,1,0.999,0
"6","MALAT1",0,1.27720212745876,1,1,0
"7","NEAT1",4.15905695833276e-317,1.21215409159174,1,0.996,1.00898721809153e-312
"8","CUTA",7.54850827726593e-290,-0.44540970482002,0.987,0.969,1.83126810806472e-285
"9","RPL8",1.23004801932636e-284,-0.472903331790262,1,1,2.98409649488575e-280
"10","MT-ATP6",1.86605928744412e-269,0.737402956769591,1,1,4.52705983133944e-265
"11","PSMB3",1.72058879046193e-264,-0.566765571353456,0.945,0.932,4.17414840566063e-260
"12","GOLGA4",1.10074072975053e-246,0.919094644375943,0.976,0.891,2.6703970103748e-242
"13","MIF",9.40256825214724e-246,-0.504284758732747,1,1,2.28106305797092e-241
"14","ITPRID2",4.03013020049818e-240,1.10866113206874,0.968,0.846,9.77709586640859e-236
"15","RPL19",5.80097400912897e-236,-0.342687761979775,1,1,1.40731629461469e-231
"16","SSR4",2.02041252117603e-234,-0.315933204726864,0.998,0.995,4.90152077637305e-230
"17","RPL13A",2.44350085646157e-233,0.307820186770983,1,1,5.92793307777577e-229
"18","MT-ND4L",2.41422778493222e-229,0.90255549976108,0.993,0.955,5.85691660624556e-225
"19","TIMP1",2.08960032394578e-226,-0.930911654765189,0.987,0.975,5.06937038589246e-222
"20","TECR",4.13339103598592e-222,-0.657140637329522,0.877,0.915,1.00276066533018e-217
"21","MT-ND2",2.82381044477664e-218,0.72985173806549,1,0.999,6.85056413902814e-214
"22","RPS3",3.40742162634163e-218,-0.430519797284074,1,1,8.2664048655048e-214
"23","LINC00632",5.19027683125877e-215,1.39868926417365,0.946,0.706,1.25916115926338e-210
"24","XIST",6.78019035331703e-213,0.959149586332857,0.966,0.838,1.64487417971471e-208
"25","GOLGB1",4.33703569216459e-210,0.730391591386855,0.949,0.836,1.05216485891913e-205
"26","COX6B1",4.7624425569757e-209,-0.304580770719709,0.994,0.987,1.15536856432231e-204
"27","NDUFB11",9.19560116023472e-199,-0.423291876767049,0.971,0.976,2.23085284147294e-194
"28","RPL32",2.02405292620762e-197,-0.286731452684536,1,1,4.91035239897969e-193
"29","KCNQ1OT1",3.13124790581192e-197,1.70117224257568,0.771,0.403,7.59640741949971e-193
"30","RPL18",1.46942425781962e-192,-0.380419555758311,1,1,3.56482324947041e-188
"31","DST",1.16208958615361e-191,0.955418691345589,0.929,0.794,2.81922933600866e-187
"32","RPS11",6.1570793136727e-190,0.445187618902211,1,1,1.493707441497e-185
"33","MT-ND3",4.5923585611051e-186,0.747397312854748,1,0.999,1.1141061869241e-181
"34","BTF3",6.04911545354149e-184,-0.249714556216982,0.998,0.998,1.46751540902916e-179
"35","TPI1",6.74359827451104e-183,-0.66091085012877,0.97,0.987,1.63599694139638e-178
"36","PRDX4",3.22131244177615e-180,-0.448411027902421,0.925,0.919,7.81490398374893e-176
"37","RPL29",3.69944810369418e-179,-0.402290774080949,1,1,8.97486109956208e-175
"38","CST3",1.14240516755541e-178,-0.251664000674105,0.99,0.969,2.77147493648943e-174
"39","NDUFC2",7.29708749455277e-178,-0.188659140914447,0.993,0.986,1.7702734261785e-173
