"","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"1731","KRT52",3.57552035795345e-14,1.68885923129907,0.47,0.195,8.0953356424424e-10,12,"KRT5"
"1732","RPS174",4.6742359994721e-14,1.11917528084367,0.657,0.392,1.05829377264048e-09,12,"RPS17"
"1733","IGFBP61",4.91444210362922e-14,2.46451412579821,0.306,0.061,1.11267883668269e-09,12,"IGFBP6"
"1734","ITGB11",6.854300130428e-14,1.4657041366002,0.552,0.26,1.5518820925302e-09,12,"ITGB1"
"1735","MT-CO24",1.42935437524179e-13,0.684947549517105,0.963,0.905,3.23620124098494e-09,12,"MT-CO2"
"1736","WDR83OS1",1.4384751484517e-13,1.99118276824692,0.269,0.072,3.25685158360949e-09,12,"WDR83OS"
"1737","C9orf161",3.10918268026151e-13,2.22443370505806,0.291,0.064,7.03950050638009e-09,12,"C9orf16"
"1738","FTH13",3.20251786365728e-13,1.05498440252682,0.925,0.924,7.25082069510645e-09,12,"FTH1"
"1739","MZT2A",4.92237074836846e-13,1.92117482161477,0.254,0.068,1.1144739611381e-08,12,"MZT2A"
"1740","RPL316",1.04604762565142e-12,1.30479308381806,0.56,0.256,2.36835642923739e-08,12,"RPL31"
"1741","RHOA1",1.11163892028345e-12,1.81236532607167,0.276,0.08,2.51686167941376e-08,12,"RHOA"
"1742","RANBP1",4.31618023776304e-12,2.12891109401377,0.284,0.07,9.77226367631929e-08,12,"RANBP1"
"1743","PFDN55",4.48561208883938e-12,1.16024571633498,0.433,0.218,1.01558743303412e-07,12,"PFDN5"
"1744","PTMS3",5.09691757350526e-12,1.27694687323717,0.47,0.206,1.15399310781733e-07,12,"PTMS"
"1745","TUBA1B4",6.90258469574499e-12,1.46043046333221,0.47,0.23,1.56281420096362e-07,12,"TUBA1B"
"1746","TINAGL11",8.02486204248204e-12,1.89475809229108,0.396,0.118,1.81690901503836e-07,12,"TINAGL1"
"1747","RAN5",8.11661046134322e-12,1.27278471915344,0.425,0.184,1.83768177455272e-07,12,"RAN"
"1748","TOMM72",1.19300057948632e-11,1.57133273080603,0.388,0.138,2.70107261201498e-07,12,"TOMM7"
"1749","FBXO2",1.2084458903072e-11,2.19936168310123,0.284,0.065,2.73604234024453e-07,12,"FBXO2"
"1750","KRT143",1.43718326924195e-11,1.52918962160225,0.694,0.341,3.25392663989071e-07,12,"KRT14"
"1751","S100A165",2.55076158642895e-11,1.1201322883707,0.53,0.309,5.77517930783378e-07,12,"S100A16"
"1752","PARK73",2.87823115238454e-11,1.29714956295004,0.336,0.144,6.51660315211383e-07,12,"PARK7"
"1753","KRT6B1",3.81212824388065e-11,1.77549858666309,0.425,0.17,8.63103955697017e-07,12,"KRT6B"
"1754","P4HB",1.0544610723024e-10,1.56255383344801,0.254,0.085,2.38740531379987e-06,12,"P4HB"
"1755","NDUFA135",1.46422852004684e-10,0.81248309640877,0.366,0.205,3.31515979223805e-06,12,"NDUFA13"
"1756","ANAPC11",3.10939231116503e-10,1.59588690539875,0.261,0.088,7.03997513170875e-06,12,"ANAPC11"
"1757","COX6B12",4.62155546511372e-10,1.09840856313145,0.261,0.129,1.0463663728564e-05,12,"COX6B1"
"1758","NDUFB21",8.05360672817764e-10,1.79433963147634,0.254,0.075,1.8234170993267e-05,12,"NDUFB2"
"1759","ARPC21",1.01692717931681e-09,1.61079490408105,0.388,0.132,2.3024248266912e-05,12,"ARPC2"
"1760","EEF1D3",1.86171210825702e-09,1.20492240057869,0.455,0.217,4.21510238430471e-05,12,"EEF1D"
"1761","COX5B3",1.96223241261327e-09,1.18110627339396,0.299,0.132,4.44269040539771e-05,12,"COX5B"
